Id Producción,Fecha producción,Unidades,Beneficio total,Referencia pieza,Nombre pieza,Categoría pieza,Beneficio por pieza,Tiempo fabricación (segs),Id Fábrica,Nombre fábrica,País fábrica
16,02/12/18,1,"21,45",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",1326,4,Desértica,Mongolia
17,08/10/18,969,"7432,23",L94783,rosca BSP hembra,Letreros,"7,67",3304,1,Soleada,España
18,30/10/21,632,"6939,36",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",2901,3,Fría,Canadá
19,30/12/21,270,"631,8",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",170,2,Nublada,Inglaterra
20,05/01/22,605,"3430,35",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",2712,2,Nublada,Inglaterra
21,21/07/20,494,"3349,32",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",2122,2,Nublada,Inglaterra
22,13/01/19,716,"3343,72",BA1425,"Ganchos Acero, Soporte de Pared para Toallas de Baño",Baño,"4,67",2921,2,Nublada,Inglaterra
23,17/07/22,894,"6061,32",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",759,1,Soleada,España
24,06/01/19,566,"2456,44",L94253,rosca BSP macho,Letreros,"4,34",3184,2,Nublada,Inglaterra
25,10/05/22,899,"3901,66",L94253,rosca BSP macho,Letreros,"4,34",159,3,Fría,Canadá
26,01/03/18,73,"186,88",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",507,2,Nublada,Inglaterra
27,22/03/21,273,"698,88",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",985,2,Nublada,Inglaterra
28,25/05/19,69,"1066,05",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",3442,2,Nublada,Inglaterra
29,03/06/19,28560,"99103,2",L64283,Racor de reducción,Letreros,"3,47",939,2,Nublada,Inglaterra
30,15/04/21,97,"1498,65",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",3557,4,Desértica,Mongolia
31,14/12/20,518,"1797,46",L64283,Racor de reducción,Letreros,"3,47",1546,4,Desértica,Mongolia
32,11/11/18,250,585,T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",1942,1,Soleada,España
33,16/04/22,40,"439,2",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",169,2,Nublada,Inglaterra
34,17/01/21,72500,201550,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",1487,1,Soleada,España
35,12/11/18,507,"3888,69",L94783,rosca BSP hembra,Letreros,"7,67",198,3,Fría,Canadá
36,22/05/22,6,"128,7",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",3283,2,Nublada,Inglaterra
37,27/11/22,830,"2307,4",B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",2386,4,Desértica,Mongolia
38,01/07/19,69,"467,82",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",2263,4,Desértica,Mongolia
39,02/03/21,805,"4564,35",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",838,3,Fría,Canadá
40,11/12/22,944,"2208,96",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",1567,3,Fría,Canadá
41,11/12/18,646,"4954,82",L94783,rosca BSP hembra,Letreros,"7,67",1717,2,Nublada,Inglaterra
42,13/05/19,902,"13935,9",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",2453,3,Fría,Canadá
43,30/01/21,55,"421,85",L94783,rosca BSP hembra,Letreros,"7,67",244,3,Fría,Canadá
44,14/07/20,6100,16958,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",2044,4,Desértica,Mongolia
45,10/10/20,716,"1832,96",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",3585,3,Fría,Canadá
46,09/11/21,8550,18297,B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",734,2,Nublada,Inglaterra
47,02/11/22,11,"62,37",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",1756,2,Nublada,Inglaterra
48,04/02/22,463,"2009,42",L94253,rosca BSP macho,Letreros,"4,34",782,3,Fría,Canadá
49,18/02/22,698,"4732,44",T84788,Juego de 780 tornillos avellanados en estuche,Tornillos,"6,78",754,3,Fría,Canadá
50,19/04/19,171,"2641,95",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",376,2,Nublada,Inglaterra
51,19/06/20,60,"340,2",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",2886,1,Soleada,España
52,08/07/21,525,"2451,75",BA1425,"Ganchos Acero, Soporte de Pared para Toallas de Baño",Baño,"4,67",825,1,Soleada,España
53,28/12/19,2,"35,94",V12378,"Cambesa 41402 Torno exterior 50k, blanco",Ventanas,"17,97",2685,4,Desértica,Mongolia
54,30/04/18,61,"669,78",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",1867,3,Fría,Canadá
55,05/03/22,106,"271,36",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",1698,2,Nublada,Inglaterra
56,19/12/21,18750,40125,B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",2663,2,Nublada,Inglaterra
57,04/12/22,5,"54,9",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",3306,1,Soleada,España
58,18/10/21,346,"6217,62",V12378,"Cambesa 41402 Torno exterior 50k, blanco",Ventanas,"17,97",3498,3,Fría,Canadá
59,11/08/20,996,"6752,88",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",1580,2,Nublada,Inglaterra
60,20/08/19,5,"107,25",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",2787,1,Soleada,España
61,04/08/18,48,"862,56",V12378,"Cambesa 41402 Torno exterior 50k, blanco",Ventanas,"17,97",508,3,Fría,Canadá
62,12/05/22,83,"636,61",L94783,rosca BSP hembra,Letreros,"7,67",648,1,Soleada,España
63,24/03/19,135,"1482,3",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",3128,1,Soleada,España
64,22/11/19,4,"85,8",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",3359,4,Desértica,Mongolia
65,02/12/21,81450,174303,B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",3434,3,Fría,Canadá
66,21/08/19,808,"5478,24",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",1419,1,Soleada,España
67,20/06/19,77500,215450,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",437,2,Nublada,Inglaterra
68,08/04/18,3,"7,02",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",3558,4,Desértica,Mongolia
69,01/10/20,320,"2169,6",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",2653,2,Nublada,Inglaterra
70,25/02/18,10,"109,8",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",3088,4,Desértica,Mongolia
71,01/12/22,142,"458,66",V98567,Schellenberg 10220 enrollador de integrado para correas de algodón,Ventanas,"3,23",2059,3,Fría,Canadá
72,04/07/19,874,"3793,16",L94253,rosca BSP macho,Letreros,"4,34",3302,2,Nublada,Inglaterra
73,06/05/20,601,"4074,78",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",781,2,Nublada,Inglaterra
74,22/04/19,67100,186538,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",2161,1,Soleada,España
75,26/11/19,944,"4408,48",BA1425,"Ganchos Acero, Soporte de Pared para Toallas de Baño",Baño,"4,67",2597,2,Nublada,Inglaterra
76,01/09/22,551,"9901,47",V12378,"Cambesa 41402 Torno exterior 50k, blanco",Ventanas,"17,97",1344,2,Nublada,Inglaterra
77,17/03/18,5,"107,25",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",1497,2,Nublada,Inglaterra
78,01/06/22,5,"107,25",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",926,2,Nublada,Inglaterra
79,27/04/20,163,"526,49",V98567,Schellenberg 10220 enrollador de integrado para correas de algodón,Ventanas,"3,23",901,3,Fría,Canadá
80,22/01/20,46,"710,7",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",3369,4,Desértica,Mongolia
81,22/08/21,473,"5193,54",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",1859,2,Nublada,Inglaterra
82,31/08/22,26,"199,42",L94783,rosca BSP hembra,Letreros,"7,67",1297,4,Desértica,Mongolia
83,20/11/21,42,"238,14",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",2315,1,Soleada,España
84,14/05/20,15,"85,05",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",840,4,Desértica,Mongolia
85,08/01/21,163,"924,21",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",3127,1,Soleada,España
86,21/10/18,127650,273171,B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",2016,3,Fría,Canadá
87,07/12/18,3600,10008,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",1351,2,Nublada,Inglaterra
88,23/06/22,208,"1595,36",L94783,rosca BSP hembra,Letreros,"7,67",3589,3,Fría,Canadá
89,10/08/19,83700,179118,B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",557,3,Fría,Canadá
90,27/11/22,33,"106,59",V98567,Schellenberg 10220 enrollador de integrado para correas de algodón,Ventanas,"3,23",2500,4,Desértica,Mongolia
91,07/01/22,3,"23,01",L94783,rosca BSP hembra,Letreros,"7,67",2382,4,Desértica,Mongolia
92,06/07/21,12,"68,04",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",1766,4,Desértica,Mongolia
93,06/03/21,5908,"20500,76",L64283,Racor de reducción,Letreros,"3,47",2076,4,Desértica,Mongolia
94,28/12/21,717,"11077,65",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",579,2,Nublada,Inglaterra
95,18/01/18,7,"150,15",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",2219,4,Desértica,Mongolia
96,02/03/19,118,"800,04",T84788,Juego de 780 tornillos avellanados en estuche,Tornillos,"6,78",1761,3,Fría,Canadá
97,03/05/21,394,"1008,64",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",435,2,Nublada,Inglaterra
98,10/02/20,406,"1408,82",L64283,Racor de reducción,Letreros,"3,47",1485,4,Desértica,Mongolia
99,14/06/18,765,"1790,1",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",1523,3,Fría,Canadá
100,16/05/19,3,"20,34",T84788,Juego de 780 tornillos avellanados en estuche,Tornillos,"6,78",2839,1,Soleada,España
101,14/10/19,159,"690,06",L94253,rosca BSP macho,Letreros,"4,34",304,1,Soleada,España
102,23/08/19,1,"21,45",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",1724,1,Soleada,España
103,17/08/20,99,"671,22",T84788,Juego de 780 tornillos avellanados en estuche,Tornillos,"6,78",184,2,Nublada,Inglaterra
104,17/12/22,74,"567,58",L94783,rosca BSP hembra,Letreros,"7,67",232,4,Desértica,Mongolia
105,24/01/20,81,"261,63",V98567,Schellenberg 10220 enrollador de integrado para correas de algodón,Ventanas,"3,23",2323,1,Soleada,España
106,05/12/19,42,"284,76",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",2905,4,Desértica,Mongolia
107,06/02/20,32200,111734,L64283,Racor de reducción,Letreros,"3,47",1341,1,Soleada,España
108,06/02/20,848,"6504,16",L94783,rosca BSP hembra,Letreros,"7,67",156,2,Nublada,Inglaterra
109,24/09/21,816,"8959,68",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",1567,2,Nublada,Inglaterra
110,06/08/18,254,"1722,12",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",1886,3,Fría,Canadá
111,07/01/18,686,"7532,28",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",2849,2,Nublada,Inglaterra
112,05/11/18,3000,6420,B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",943,2,Nublada,Inglaterra
113,30/01/21,1,"21,45",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",1460,1,Soleada,España
114,11/06/20,5,"11,7",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",3181,4,Desértica,Mongolia
115,07/11/22,937,"5312,79",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",1519,2,Nublada,Inglaterra
116,06/07/21,839,"4757,13",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",3557,2,Nublada,Inglaterra
117,08/07/18,558,"8621,1",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",1317,1,Soleada,España
118,27/08/19,121,"283,14",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",2487,3,Fría,Canadá
119,18/02/21,238,"2613,24",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",3459,3,Fría,Canadá
120,11/09/22,50260,"174402,2",L64283,Racor de reducción,Letreros,"3,47",2352,1,Soleada,España
121,24/09/21,410,"3144,7",L94783,rosca BSP hembra,Letreros,"7,67",1702,3,Fría,Canadá
122,06/06/21,8340,"17847,6",B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",2096,4,Desértica,Mongolia
123,05/02/21,40,"186,8",BA1425,"Ganchos Acero, Soporte de Pared para Toallas de Baño",Baño,"4,67",1686,1,Soleada,España
124,11/08/19,4,"27,12",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",792,3,Fría,Canadá
125,11/10/22,2,"13,56",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",1854,1,Soleada,España
126,06/08/19,79,"1220,55",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",2555,1,Soleada,España
127,25/11/21,18200,63154,L64283,Racor de reducción,Letreros,"3,47",1460,2,Nublada,Inglaterra
128,23/09/19,42,"648,9",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",2358,4,Desértica,Mongolia
129,16/11/21,31,"175,77",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",3157,3,Fría,Canadá
130,14/10/20,6400,17792,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",49,4,Desértica,Mongolia
131,02/05/21,33320,"115620,4",L64283,Racor de reducción,Letreros,"3,47",2128,1,Soleada,España
132,25/05/19,956,"4464,52",BA1425,"Ganchos Acero, Soporte de Pared para Toallas de Baño",Baño,"4,67",2309,1,Soleada,España
133,08/01/18,7940,"22073,2",B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",553,4,Desértica,Mongolia
134,30/07/21,46830,"162500,1",L64283,Racor de reducción,Letreros,"3,47",1467,3,Fría,Canadá
135,15/07/21,6,"128,7",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",2837,2,Nublada,Inglaterra
136,03/02/19,673,"3142,91",BA1425,"Ganchos Acero, Soporte de Pared para Toallas de Baño",Baño,"4,67",1569,3,Fría,Canadá
137,22/04/18,785,"4450,95",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",1100,2,Nublada,Inglaterra
138,10/02/19,6,"128,7",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",106,4,Desértica,Mongolia
139,13/07/21,212,"920,08",L94253,rosca BSP macho,Letreros,"4,34",727,3,Fría,Canadá
140,17/07/20,356,"911,36",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",1358,3,Fría,Canadá
141,10/01/21,558,"2421,72",L94253,rosca BSP macho,Letreros,"4,34",1524,3,Fría,Canadá
142,04/03/18,5,"107,25",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",761,1,Soleada,España
143,16/09/20,4,"85,8",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",2741,2,Nublada,Inglaterra
144,18/04/20,7350,15729,B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",3435,3,Fría,Canadá
145,28/06/22,22,"102,74",BA1425,"Ganchos Acero, Soporte de Pared para Toallas de Baño",Baño,"4,67",3336,2,Nublada,Inglaterra
146,14/06/18,18900,52542,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",224,3,Fría,Canadá
147,04/06/22,295,"5301,15",V12378,"Cambesa 41402 Torno exterior 50k, blanco",Ventanas,"17,97",835,1,Soleada,España
148,23/05/18,125400,268356,B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",1426,3,Fría,Canadá
149,27/02/18,31050,66447,B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",836,2,Nublada,Inglaterra
150,15/04/20,68,"174,08",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",3263,1,Soleada,España
151,09/09/21,4403,"15278,41",L64283,Racor de reducción,Letreros,"3,47",3373,4,Desértica,Mongolia
152,16/06/18,920,"6237,6",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",628,3,Fría,Canadá
153,08/07/21,567,"3844,26",T84784,"Kit Duopower Tacos pared con tornillo, Tacos pladur y hormigón",Tornillos,"6,78",2100,3,Fría,Canadá
154,03/07/21,614,"4709,38",L94783,rosca BSP hembra,Letreros,"7,67",2068,3,Fría,Canadá
155,24/12/20,7,"150,15",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",1157,3,Fría,Canadá
156,31/10/20,26,"60,84",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",2123,3,Fría,Canadá
157,14/03/22,206,"665,38",V98567,Schellenberg 10220 enrollador de integrado para correas de algodón,Ventanas,"3,23",1732,3,Fría,Canadá
158,18/08/20,80,"373,6",BA1425,"Ganchos Acero, Soporte de Pared para Toallas de Baño",Baño,"4,67",3258,3,Fría,Canadá
159,23/02/21,81600,226848,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",2140,1,Soleada,España
160,11/04/18,29,"67,86",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",1640,4,Desértica,Mongolia
161,03/04/22,104,"243,36",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",980,1,Soleada,España
162,12/02/19,6980,"39576,6",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",1625,2,Nublada,Inglaterra
163,19/02/21,550,2387,L94253,rosca BSP macho,Letreros,"4,34",3423,2,Nublada,Inglaterra
164,14/12/19,4,"71,88",V12378,"Cambesa 41402 Torno exterior 50k, blanco",Ventanas,"17,97",2072,4,Desértica,Mongolia
165,03/10/19,497,"7678,65",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",2957,1,Soleada,España
166,12/09/20,51,"289,17",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",2293,1,Soleada,España
167,29/01/18,604,"1950,92",V98567,Schellenberg 10220 enrollador de integrado para correas de algodón,Ventanas,"3,23",2525,3,Fría,Canadá
168,21/11/21,248,"634,88",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",2006,3,Fría,Canadá
169,05/08/20,3,"20,34",T84788,Juego de 780 tornillos avellanados en estuche,Tornillos,"6,78",3282,2,Nublada,Inglaterra
170,06/02/22,58,"444,86",L94783,rosca BSP hembra,Letreros,"7,67",2393,1,Soleada,España
171,01/06/20,305,"4712,25",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",3028,3,Fría,Canadá
172,19/07/21,332,"2546,44",L94783,rosca BSP hembra,Letreros,"7,67",3443,2,Nublada,Inglaterra
173,18/10/18,512,"1310,72",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",1609,1,Soleada,España
174,17/09/22,57100,158738,B35473,Tacos pared 6x30 DuoPower para hormigón,Bricolaje,"2,78",2278,3,Fría,Canadá
175,18/01/22,3,"17,01",V34298,Amig - Recogedor para Persianas Compacto de Empotrar o Encastrado Metálico con Frente de Plástico Blanco,Ventanas,"5,67",2196,4,Desértica,Mongolia
176,17/12/18,5,"107,25",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",1677,2,Nublada,Inglaterra
177,02/07/18,24,"162,72",T84788,Juego de 780 tornillos avellanados en estuche,Tornillos,"6,78",426,4,Desértica,Mongolia
178,11/09/22,960,"17251,2",V12378,"Cambesa 41402 Torno exterior 50k, blanco",Ventanas,"17,97",713,2,Nublada,Inglaterra
179,26/04/20,1245,"2664,3",B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",3194,4,Desértica,Mongolia
180,18/09/19,66,"1019,7",BA1825,"Extractores de Baño Extraplanos, para Muro y Techo",Baño,"15,45",775,3,Fría,Canadá
181,14/12/19,3,"64,35",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",3568,2,Nublada,Inglaterra
182,17/09/21,20,"64,6",V98567,Schellenberg 10220 enrollador de integrado para correas de algodón,Ventanas,"3,23",1111,2,Nublada,Inglaterra
183,13/11/18,674,"2925,16",L94253,rosca BSP macho,Letreros,"4,34",1304,3,Fría,Canadá
184,04/03/18,7,"150,15",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",2668,2,Nublada,Inglaterra
185,19/07/20,6,"65,88",B35478,Tiras Adhesivas para Colgar Cuadros,Bricolaje,"10,98",2656,4,Desértica,Mongolia
186,25/03/20,777,"5268,06",T84788,Juego de 780 tornillos avellanados en estuche,Tornillos,"6,78",1758,3,Fría,Canadá
187,29/08/21,10005,"21410,7",B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",2810,4,Desértica,Mongolia
188,22/03/20,1845,"3948,3",B35476,Mosquetones de Aluminio Resistente con Cierre de Mosquetón,Bricolaje,"2,14",1959,4,Desértica,Mongolia
189,08/04/19,842,"15130,74",V12378,"Cambesa 41402 Torno exterior 50k, blanco",Ventanas,"17,97",3121,1,Soleada,España
190,06/08/20,7,"17,92",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",235,4,Desértica,Mongolia
191,06/10/22,359,"919,04",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",2894,1,Soleada,España
192,22/08/20,2,"9,34",BA1425,"Ganchos Acero, Soporte de Pared para Toallas de Baño",Baño,"4,67",3133,1,Soleada,España
193,27/06/20,28,"71,68",L94283,Cartel adhesivo de aluminio con aspecto moderno de acero inoxidable,Letreros,"2,56",1914,4,Desértica,Mongolia
194,30/01/21,1,"21,45",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",1160,4,Desértica,Mongolia
195,22/12/22,72,"1293,84",V12378,"Cambesa 41402 Torno exterior 50k, blanco",Ventanas,"17,97",3143,4,Desértica,Mongolia
196,01/11/19,5,"21,7",L94253,rosca BSP macho,Letreros,"4,34",2837,4,Desértica,Mongolia
197,14/01/18,10,"32,3",V98567,Schellenberg 10220 enrollador de integrado para correas de algodón,Ventanas,"3,23",573,2,Nublada,Inglaterra
198,29/10/20,7280,"25261,6",L64283,Racor de reducción,Letreros,"3,47",1719,1,Soleada,España
199,13/08/18,5,"107,25",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",3246,1,Soleada,España
200,16/10/21,966,"2260,44",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",2382,1,Soleada,España
201,20/10/19,1,"21,45",BA1435,Toallero de pie con 3 brazos móviles,Baño,"21,45",996,1,Soleada,España
202,10/12/18,49,"375,83",L94783,rosca BSP hembra,Letreros,"7,67",683,4,Desértica,Mongolia
203,11/07/18,92,"215,28",T84781,Tornillos 4 x 50 mm,Tornillos,"2,34",3116,4,Desértica,Mongolia
